序号,日期,股票,代码,买卖,操作摘要,交易结果,成交价,数量(股),成交金额(元),手续费税费滑点(元),买卖理由,本次已实现盈亏(元),本次收益率(%),交易后持股(股),持仓状态,现金变化(元),选股理由,买卖依据对照,结构比例,锚点低/高,锚点日期
1,2024-09-25,中国人寿,sh.601628,买入,"买入中国人寿(sh.601628) 5500股，成交价36.17，成交金额198,935.00元，现金-199,051.38元，交易后持股5500股",建仓成本116.38元,36.17,5500,198935.0,116.38,直接突破首仓；价格突破21日收盘高点；跳空越过触发价成交,-116.38,,5500,持有5500股,-199051.38,主流标准基本面模型入选；MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；量能高于5/10日基准1.61倍；多周期均量扣低走高,MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；量能高于5/10日基准1.61倍；多周期均量扣低走高,,,
2,2024-10-08,金山办公,sh.688111,买入,"买入金山办公(sh.688111) 600股，成交价316.77，成交金额190,062.00元，现金-190,173.19元，交易后持股600股",建仓成本111.19元,316.77,600,190062.0,111.19,直接突破首仓；上涨波段50%有效跌破后重新突破；跳空越过触发价成交,-111.19,,600,持有600股,-190173.19,主流标准基本面模型入选；MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；量能高于5/10日基准3.40倍；多周期均量扣低走高,MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；量能高于5/10日基准3.40倍；多周期均量扣低走高,0.5,266.68 / 363.34,2024-03-11 → 2024-03-21
3,2024-10-09,金山办公,sh.688111,卖出,"卖出金山办公(sh.688111) 600股，成交价293.96，成交金额176,376.00元，现金+176,184.63元，本次亏损-13,988.55元，收益率-7.36%，清仓","亏损-13,988.55元 (-7.36%)",293.96,600,176376.0,191.37,开盘未站上315.010；跳空止损成交,-13988.55,-7.3557,0,清仓,176184.63,,,,,
4,2024-10-09,中国人寿,sh.601628,卖出,"卖出中国人寿(sh.601628) 1100股，成交价41.94，成交金额46,134.00元，现金+46,082.87元，本次盈利+6,272.59元，收益率+15.76%，剩余4400股","盈利6,272.59元 (+15.76%)",41.94,1100,46134.0,51.13,14:55收盘代理价成交,6272.59,15.7562,4400,持有4400股,46082.87,,,,,
5,2024-10-09,天孚通信,sz.300394,买入,"买入天孚通信(sz.300394) 3300股，成交价60.6，成交金额199,980.00元，现金-200,096.99元，交易后持股3300股",建仓成本116.99元,60.6,3300,199980.0,116.99,直接突破首仓；价格突破21日收盘高点；盘中突破成交,-116.99,,3300,持有3300股,-200096.99,基本价值线模型入选；MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；量能高于5/10日基准1.61倍；多周期均量扣低走高,MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；量能高于5/10日基准1.61倍；多周期均量扣低走高,,,
6,2024-10-10,天孚通信,sz.300394,卖出,"卖出天孚通信(sz.300394) 3300股，成交价56.27，成交金额185,691.00元，现金+185,489.53元，本次亏损-14,607.46元，收益率-7.30%，清仓","亏损-14,607.46元 (-7.30%)",56.27,3300,185691.0,201.47,开盘未站上60.600；跳空止损成交,-14607.46,-7.3002,0,清仓,185489.53,,,,,
7,2024-10-10,中国人寿,sh.601628,买入,"买入中国人寿(sh.601628) 1900股，成交价41.67，成交金额79,173.00元，现金-79,219.32元，交易后持股6300股",建仓成本46.32元,41.67,1900,79173.0,46.32,浮盈加仓50%；上涨波段75.0%拉回支撑；共振=MA5；开盘已触发成交,-46.32,,6300,持有6300股,-79219.32,主流标准基本面模型入选；MA20/MA60同步上扬；收盘站上MA20；量能高于5/10日基准2.08倍；多周期均量扣低走高,MA20/MA60同步上扬；收盘站上MA20；量能高于5/10日基准2.08倍；多周期均量扣低走高,0.75,27.88 / 46.6,2024-08-12 → 2024-10-08
8,2024-10-10,奥特维,sh.688516,买入,"买入奥特维(sh.688516) 3400股，成交价56.325，成交金额191,505.00元，现金-191,617.03元，交易后持股3400股",建仓成本112.03元,56.325,3400,191505.0,112.03,直接突破首仓；上涨波段50%有效跌破后重新突破；盘中突破成交,-112.03,,3400,持有3400股,-191617.03,基本价值线模型入选；MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；量能高于5/10日基准1.66倍；多周期均量扣低走高,MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；量能高于5/10日基准1.66倍；多周期均量扣低走高,0.5,40.9 / 71.75,2024-02-05 → 2024-04-11
9,2024-10-11,奥特维,sh.688516,卖出,"卖出奥特维(sh.688516) 3400股，成交价49.89，成交金额169,626.00元，现金+169,441.96元，本次亏损-22,175.07元，收益率-11.57%，清仓","亏损-22,175.07元 (-11.57%)",49.89,3400,169626.0,184.04,开盘未站上56.325；跳空止损成交,-22175.07,-11.5726,0,清仓,169441.96,,,,,
10,2024-10-11,中国人寿,sh.601628,卖出,"卖出中国人寿(sh.601628) 1900股，成交价41.11，成交金额78,109.00元，现金+78,024.25元，本次亏损-1,195.06元，收益率-1.51%，剩余4400股","亏损-1,195.06元 (-1.51%)",41.11,1900,78109.0,84.75,收盘条件止损；14:55收盘代理价成交,-1195.06,-1.5086,4400,持有4400股,78024.25,,,,,
